EmployeeID,Gender,Age,MaritalStatus,EducationLevel,Department,JobRole,JobLevel,BusinessTravel,EmploymentType,WorkLocation,RemoteWork,DateOfJoining,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,MonthlyIncome,AnnualSalary,SalaryHikePercent,Bonus,StockOptionLevel,OverTime,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,NumberOfProjects,PromotionInLast5Years,EngagementScore,AbsenteeismDays,ManagerRating,TeamSize,Attrition,DistanceFromHome,HealthIssues,JobInvolvement,StressLevel,HiringSource,CostToHire,ReplacementCost,Region,AgeGroup
227,Male,33,Married,PhD,Finance,Analyst,3,Travel_Frequently,Contract,Delhi,Yes,28-07-2016,9.6,2,2,121121,1453452,16,14419,2,Yes,1,1,1,1,12,Yes,74,0,1,10,No,22,No,4,1,Campus,47122,45092,South,25-34
228,Male,30,Married,PhD,HR,Analyst,3,Travel_Rarely,Full-Time,Pune,No,09-01-2020,6.1,5,8,121190,1454280,24,43448,1,No,4,1,4,3,1,Yes,11,5,1,9,No,27,No,2,2,Referral,46863,34549,West,25-34
229,Male,49,Single,High School,Finance,Manager,2,Non-Travel,Full-Time,Mumbai,No,09-10-2018,7.4,5,4,95515,1146180,9,7645,2,Yes,4,2,3,2,12,No,87,0,4,8,Yes,2,No,1,1,Consultancy,40522,33403,North,45-54
230,Female,47,Married,Bachelor,Marketing,Analyst,2,Non-Travel,Contract,Pune,Yes,08-01-2019,7.1,5,4,104627,1255524,6,36404,2,No,2,4,3,3,13,No,51,6,4,5,Yes,1,No,2,3,Campus,21232,79412,East,45-54
231,Female,47,Divorced,Master,HR,Analyst,1,Non-Travel,Full-Time,Delhi,Yes,22-10-2024,1.3,6,0,88653,1063836,15,8787,2,Yes,3,2,2,2,13,No,74,4,1,4,No,2,No,2,1,Campus,24345,51819,West,45-54
232,Male,26,Single,Master,HR,Team Lead,2,Travel_Rarely,Full-Time,Pune,No,29-07-2017,8.6,5,9,85584,1027008,12,15620,1,Yes,3,4,1,4,3,No,47,12,4,9,No,11,Yes,2,2,Campus,13749,31353,South,25-34
233,Female,45,Divorced,PhD,Sales,Team Lead,5,Non-Travel,Contract,Pune,No,12-09-2021,4.4,7,3,106373,1276476,12,39993,1,Yes,2,1,1,4,14,No,10,15,4,6,No,13,No,1,2,Campus,13815,69999,South,35-44
234,Male,34,Single,High School,Sales,Manager,1,Non-Travel,Full-Time,Pune,No,15-10-2016,9.4,2,0,90309,1083708,15,23515,2,Yes,1,2,3,2,9,Yes,58,13,2,11,Yes,1,Yes,2,2,Consultancy,47528,98972,East,25-34
235,Female,22,Married,Bachelor,HR,Executive,4,Travel_Frequently,Full-Time,Bangalore,Yes,20-02-2015,11,7,3,143193,1718316,5,12224,0,Yes,1,1,4,1,9,Yes,3,13,3,13,No,24,No,4,4,LinkedIn,45660,79840,West,18-24
236,Female,48,Divorced,High School,IT,Manager,2,Non-Travel,Full-Time,Mumbai,Yes,29-09-2019,6.4,3,4,40002,480024,7,18825,2,No,2,3,1,2,7,Yes,59,6,3,14,Yes,5,No,3,2,LinkedIn,32398,96230,West,45-54
237,Male,56,Single,High School,Finance,Analyst,4,Travel_Rarely,Full-Time,Ahmedabad,No,23-07-2020,5.6,9,2,30737,368844,5,46719,2,No,4,3,1,4,5,No,36,3,4,6,No,21,No,2,4,LinkedIn,47777,78901,South,55-64
238,Female,59,Divorced,Master,Marketing,Executive,5,Travel_Rarely,Contract,Bangalore,Yes,09-06-2017,8.7,2,8,120735,1448820,18,49252,1,No,4,2,2,3,3,No,58,14,3,6,No,2,Yes,1,3,Campus,34207,74659,West,55-64
239,Male,32,Divorced,High School,Sales,Executive,2,Travel_Frequently,Full-Time,Ahmedabad,Yes,31-01-2018,8.1,9,8,44845,538140,21,4067,1,Yes,2,1,1,1,14,Yes,15,5,4,12,No,29,Yes,1,4,Referral,48328,56784,West,25-34
240,Female,23,Divorced,Bachelor,Operations,Executive,5,Travel_Frequently,Contract,Mumbai,Yes,16-06-2016,9.7,3,9,20074,240888,20,27608,0,No,1,4,3,2,12,No,37,7,4,4,No,12,Yes,2,1,Campus,47420,29247,North,18-24
241,Female,32,Single,Master,HR,Manager,5,Travel_Frequently,Full-Time,Mumbai,No,06-08-2022,3.5,2,3,135229,1622748,23,17548,2,No,3,3,3,1,13,No,41,11,4,14,No,15,No,4,2,LinkedIn,28029,66660,South,25-34
242,Female,45,Married,High School,Operations,Analyst,5,Non-Travel,Contract,Ahmedabad,No,16-03-2024,1.9,7,4,136041,1632492,10,17194,1,Yes,2,4,1,4,11,Yes,98,17,1,6,Yes,22,Yes,3,2,Referral,26874,73502,North,35-44
243,Female,29,Divorced,PhD,Sales,Analyst,5,Non-Travel,Full-Time,Delhi,Yes,25-06-2016,9.7,7,9,29479,353748,23,42879,1,No,1,3,4,1,3,Yes,83,0,3,9,No,7,No,4,4,Consultancy,49643,30100,North,25-34
244,Female,35,Single,PhD,Sales,Analyst,1,Non-Travel,Contract,Mumbai,Yes,01-12-2021,4.2,9,6,48804,585648,5,20121,0,Yes,2,2,1,2,2,No,88,17,3,11,No,8,No,2,1,Campus,29641,91749,South,25-34
245,Female,59,Divorced,Bachelor,Operations,Analyst,2,Travel_Rarely,Full-Time,Pune,Yes,01-05-2022,3.8,9,4,123173,1478076,13,78,1,Yes,1,2,3,2,3,No,3,9,4,13,No,6,Yes,4,4,LinkedIn,48290,87906,South,55-64
246,Female,25,Divorced,Master,Sales,Specialist,5,Travel_Rarely,Full-Time,Bangalore,Yes,03-02-2017,9.1,1,8,66451,797412,6,32463,2,No,4,3,3,2,13,Yes,15,9,1,13,No,16,No,1,4,Consultancy,20303,45345,West,18-24
247,Male,46,Single,Master,HR,Manager,1,Travel_Rarely,Full-Time,Mumbai,No,20-07-2024,1.6,8,5,79557,954684,5,37146,1,Yes,2,3,4,4,12,Yes,17,7,2,6,Yes,12,No,4,2,Referral,45030,39613,North,45-54
248,Male,55,Divorced,High School,HR,Manager,5,Non-Travel,Contract,Bangalore,Yes,08-04-2017,8.9,6,8,106282,1275384,6,36839,0,Yes,3,2,3,1,10,Yes,52,12,1,6,No,29,No,4,2,LinkedIn,13457,62616,West,45-54
249,Male,23,Single,High School,IT,Team Lead,5,Non-Travel,Contract,Ahmedabad,Yes,14-04-2015,10.9,2,2,95432,1145184,16,28253,0,No,2,3,1,1,6,Yes,53,19,3,7,No,24,No,2,1,Consultancy,45031,62929,West,18-24
250,Female,32,Single,High School,HR,Manager,4,Travel_Rarely,Contract,Mumbai,Yes,18-04-2016,9.8,1,1,132113,1585356,19,8995,0,Yes,1,2,4,1,8,No,49,17,3,6,No,26,Yes,4,3,Consultancy,37874,29215,South,25-34
251,Male,34,Divorced,High School,Sales,Manager,5,Travel_Rarely,Full-Time,Ahmedabad,Yes,28-12-2024,1.1,0,9,97462,1169544,18,4700,1,Yes,1,3,4,1,7,No,33,6,4,4,No,9,Yes,4,1,Referral,24352,95282,East,25-34
252,Male,54,Single,PhD,HR,Executive,5,Non-Travel,Full-Time,Mumbai,Yes,14-01-2019,7.1,0,6,109719,1316628,20,24290,1,No,4,2,4,3,5,No,43,3,4,3,No,9,No,4,3,Consultancy,42408,48251,North,45-54
253,Female,26,Divorced,High School,Sales,Team Lead,5,Travel_Frequently,Full-Time,Pune,No,07-01-2017,9.1,8,9,98082,1176984,11,23341,2,No,3,4,3,3,10,No,17,13,4,6,Yes,13,Yes,2,3,LinkedIn,41007,76947,South,25-34
254,Female,29,Divorced,PhD,Finance,Executive,3,Travel_Frequently,Full-Time,Bangalore,Yes,11-12-2020,5.2,0,6,113220,1358640,8,12886,2,No,3,3,3,1,13,No,26,11,2,6,Yes,18,No,3,3,Referral,31322,55739,West,25-34
255,Male,31,Single,Bachelor,Operations,Executive,2,Non-Travel,Full-Time,Delhi,Yes,28-04-2019,6.8,2,4,113831,1365972,11,46157,2,Yes,1,1,2,3,3,No,86,19,4,4,No,23,Yes,1,4,Consultancy,36567,52376,East,25-34
256,Female,38,Single,PhD,IT,Manager,1,Non-Travel,Full-Time,Mumbai,No,19-05-2022,3.8,5,2,49332,591984,16,29283,0,No,2,3,3,1,7,No,28,13,4,3,No,14,No,3,4,Referral,21095,77572,West,35-44
257,Female,35,Divorced,Bachelor,Operations,Manager,2,Travel_Rarely,Full-Time,Bangalore,No,04-10-2016,9.4,6,6,21313,255756,6,7637,1,Yes,4,1,2,4,14,No,92,7,2,8,No,13,Yes,4,4,Campus,24435,75556,North,25-34
258,Female,59,Divorced,Master,HR,Manager,5,Travel_Frequently,Full-Time,Bangalore,Yes,29-11-2015,10.2,6,4,24381,292572,22,4581,1,No,4,4,1,3,12,Yes,67,11,3,12,No,26,No,3,4,Consultancy,19063,20834,East,55-64
259,Male,54,Married,Master,HR,Manager,3,Travel_Frequently,Full-Time,Pune,No,07-02-2023,3,8,3,120028,1440336,18,15762,2,Yes,3,4,3,4,4,Yes,19,14,2,3,No,16,No,3,2,Referral,48756,33777,East,45-54
260,Female,26,Divorced,Master,Finance,Team Lead,3,Travel_Frequently,Contract,Ahmedabad,Yes,05-07-2024,1.6,1,0,67819,813828,14,737,2,No,1,2,4,1,6,No,19,0,3,6,No,1,No,4,4,LinkedIn,23072,96669,West,25-34
261,Male,43,Divorced,Bachelor,Marketing,Specialist,2,Travel_Rarely,Full-Time,Bangalore,No,15-01-2021,5.1,6,7,44161,529932,6,17709,1,Yes,4,4,3,3,1,No,38,7,2,7,No,27,No,4,2,Consultancy,17246,38302,North,35-44
262,Female,36,Single,High School,Sales,Specialist,1,Travel_Rarely,Full-Time,Pune,No,24-07-2021,4.6,4,4,124301,1491612,14,36613,2,Yes,1,1,4,1,14,No,10,8,1,11,No,3,Yes,4,2,LinkedIn,40936,98858,South,35-44
263,Male,46,Married,Master,Sales,Specialist,5,Travel_Frequently,Contract,Delhi,Yes,22-11-2023,2.2,3,5,56390,676680,15,35670,2,No,1,3,4,1,11,Yes,12,6,4,13,No,23,Yes,2,2,Consultancy,34665,45032,North,45-54
264,Male,56,Single,PhD,Finance,Manager,2,Travel_Rarely,Full-Time,Pune,No,02-07-2017,8.6,7,0,50028,600336,24,46761,0,Yes,3,4,4,4,11,Yes,77,12,3,7,No,16,No,3,2,LinkedIn,43435,88906,North,55-64
265,Male,27,Married,PhD,IT,Team Lead,5,Non-Travel,Contract,Ahmedabad,No,14-11-2017,8.3,0,0,149070,1788840,14,15563,1,No,3,4,4,3,13,Yes,64,17,4,3,No,16,Yes,4,4,Consultancy,36149,35540,North,25-34
266,Male,32,Divorced,High School,Sales,Executive,4,Travel_Rarely,Full-Time,Mumbai,Yes,08-02-2018,8,5,9,111737,1340844,16,28074,2,No,2,4,2,1,2,No,8,19,2,13,No,10,No,1,4,LinkedIn,43349,67098,West,25-34
267,Female,49,Married,Bachelor,Operations,Analyst,4,Non-Travel,Contract,Pune,No,07-04-2018,7.9,1,5,133288,1599456,12,14496,2,Yes,2,4,2,2,10,Yes,62,13,4,9,No,22,Yes,1,3,Campus,34485,21067,West,45-54
268,Male,30,Divorced,PhD,HR,Team Lead,4,Non-Travel,Full-Time,Delhi,Yes,24-07-2015,10.6,3,6,146736,1760832,14,8458,1,No,3,1,2,3,4,Yes,17,7,4,8,No,12,Yes,4,3,Campus,20420,92178,West,25-34
269,Female,28,Married,PhD,IT,Manager,1,Travel_Rarely,Contract,Ahmedabad,Yes,18-02-2023,3,3,4,89893,1078716,9,9843,2,Yes,3,3,2,1,14,Yes,97,6,2,10,Yes,3,Yes,4,4,Consultancy,45256,96428,East,25-34
270,Male,44,Single,PhD,HR,Analyst,5,Travel_Frequently,Full-Time,Mumbai,Yes,09-12-2017,8.2,8,1,71428,857136,11,43203,2,Yes,2,1,4,3,5,Yes,21,11,4,5,No,7,No,4,1,LinkedIn,49873,84471,South,35-44
271,Male,59,Divorced,Bachelor,IT,Team Lead,3,Non-Travel,Contract,Delhi,No,02-09-2016,9.5,9,5,33894,406728,21,36664,0,Yes,4,2,3,1,1,Yes,65,18,2,4,Yes,1,Yes,1,1,Consultancy,18128,70227,East,55-64
272,Male,47,Single,Master,Operations,Team Lead,4,Travel_Rarely,Contract,Pune,Yes,12-11-2016,9.3,5,8,26861,322332,6,5622,1,Yes,4,4,2,4,13,No,89,6,4,3,No,14,No,4,1,LinkedIn,43837,90799,South,45-54
273,Male,48,Divorced,High School,IT,Manager,2,Non-Travel,Contract,Bangalore,No,31-08-2022,3.5,1,5,119667,1436004,18,6256,2,Yes,1,1,2,1,9,No,78,2,3,5,No,17,No,3,4,Campus,49373,63019,West,45-54
274,Male,41,Single,Master,Finance,Analyst,1,Travel_Rarely,Contract,Mumbai,No,27-01-2016,10.1,5,3,121290,1455480,16,10794,2,Yes,3,2,1,1,6,Yes,6,17,2,11,No,24,Yes,1,3,Referral,28482,52471,West,35-44
275,Female,55,Married,High School,Finance,Specialist,2,Travel_Frequently,Full-Time,Bangalore,No,29-06-2019,6.7,1,6,74213,890556,11,38179,2,Yes,1,2,1,2,9,No,31,8,2,14,No,2,No,3,3,Campus,21586,70231,East,45-54
276,Female,48,Married,Bachelor,Sales,Executive,2,Non-Travel,Full-Time,Mumbai,No,08-05-2020,5.8,3,8,99468,1193616,6,22375,1,Yes,2,3,2,2,5,Yes,65,1,4,3,No,19,No,1,4,LinkedIn,14566,22196,West,45-54
277,Female,40,Married,High School,Operations,Manager,4,Travel_Rarely,Full-Time,Bangalore,Yes,07-06-2017,8.7,6,7,116651,1399812,17,39349,1,No,4,2,2,1,11,Yes,35,10,1,7,Yes,7,No,4,1,Campus,13258,51629,West,35-44
278,Female,52,Married,PhD,HR,Analyst,1,Travel_Rarely,Contract,Mumbai,No,11-02-2021,5,0,7,105853,1270236,11,33734,2,Yes,2,2,2,1,9,No,53,18,4,14,No,8,Yes,4,1,LinkedIn,44815,50869,South,45-54
279,Male,29,Married,Master,Operations,Team Lead,1,Non-Travel,Full-Time,Delhi,No,10-06-2019,6.7,4,0,36682,440184,12,41916,0,Yes,2,2,3,4,11,Yes,74,3,1,6,No,13,Yes,1,2,LinkedIn,16849,38976,South,25-34
280,Male,59,Single,Bachelor,Sales,Executive,5,Travel_Rarely,Contract,Delhi,Yes,06-03-2015,11,4,8,137275,1647300,13,27862,2,No,3,4,1,3,6,Yes,34,8,4,3,Yes,6,Yes,3,2,LinkedIn,45901,70617,South,55-64
281,Male,28,Married,PhD,Marketing,Specialist,4,Travel_Frequently,Contract,Bangalore,No,01-03-2016,10,2,7,80148,961776,10,37289,0,Yes,3,2,2,2,2,Yes,39,0,3,6,No,28,Yes,4,2,Campus,39217,59291,South,25-34
282,Male,30,Married,PhD,Sales,Team Lead,1,Travel_Rarely,Contract,Ahmedabad,No,31-01-2017,9.1,6,0,55169,662028,21,28513,0,No,3,4,2,4,13,Yes,64,16,3,11,No,10,No,1,1,Campus,45524,26853,South,25-34
283,Female,29,Married,High School,Sales,Specialist,4,Travel_Frequently,Contract,Ahmedabad,Yes,26-06-2023,2.7,8,5,114154,1369848,16,801,2,No,2,2,2,2,14,No,32,9,4,14,Yes,16,No,1,3,LinkedIn,24855,56169,South,25-34
284,Male,58,Divorced,Master,Marketing,Analyst,4,Travel_Rarely,Contract,Ahmedabad,No,13-03-2021,4.9,9,1,145074,1740888,13,21618,2,No,3,4,1,1,14,No,90,14,4,9,No,17,Yes,1,3,LinkedIn,44629,66910,North,55-64
285,Male,31,Divorced,Bachelor,Operations,Manager,3,Non-Travel,Contract,Mumbai,Yes,14-06-2016,9.7,3,6,76733,920796,19,6668,0,No,2,4,1,4,3,Yes,77,1,4,13,No,9,No,2,2,Consultancy,29381,75673,West,25-34
286,Male,30,Divorced,PhD,IT,Executive,3,Travel_Frequently,Contract,Bangalore,Yes,14-12-2023,2.2,0,2,79072,948864,6,42314,0,Yes,3,1,2,4,14,No,49,7,2,12,Yes,29,Yes,4,4,Consultancy,10002,70411,East,25-34
287,Male,34,Divorced,High School,Operations,Team Lead,4,Travel_Rarely,Contract,Delhi,No,29-10-2023,2.3,2,4,40707,488484,19,27757,2,No,4,4,3,4,6,Yes,94,11,4,13,No,21,No,4,4,Consultancy,33178,48876,North,25-34
288,Male,33,Married,Bachelor,HR,Team Lead,4,Travel_Frequently,Full-Time,Delhi,Yes,11-09-2019,6.4,9,4,82539,990468,6,36617,1,No,1,2,1,1,13,No,84,14,4,3,No,17,No,2,2,LinkedIn,21197,98586,East,25-34
289,Male,52,Divorced,PhD,Finance,Analyst,5,Travel_Frequently,Contract,Delhi,Yes,29-04-2018,7.8,0,0,67553,810636,23,1312,1,Yes,4,3,2,3,14,Yes,78,0,1,9,Yes,6,No,4,1,Referral,27323,70762,North,45-54
290,Female,44,Single,Master,HR,Specialist,1,Travel_Rarely,Contract,Ahmedabad,No,05-03-2016,10,8,6,78328,939936,9,19510,0,Yes,4,4,2,4,4,Yes,15,0,2,5,No,6,No,2,4,Referral,16722,60969,North,35-44
291,Male,47,Divorced,High School,Marketing,Analyst,1,Travel_Rarely,Full-Time,Delhi,Yes,09-02-2015,11,4,6,82784,993408,16,19613,0,Yes,1,2,1,3,2,Yes,23,15,1,14,No,27,Yes,4,4,LinkedIn,13621,64433,East,45-54
292,Female,35,Divorced,PhD,Operations,Specialist,1,Non-Travel,Contract,Ahmedabad,No,24-05-2015,10.8,3,3,86188,1034256,13,25964,2,No,2,2,2,4,5,Yes,84,11,1,11,No,11,No,1,2,Referral,11725,29304,East,25-34
293,Female,21,Single,High School,IT,Team Lead,5,Travel_Rarely,Full-Time,Delhi,Yes,22-05-2015,10.8,8,5,90320,1083840,22,22671,0,No,2,2,1,2,10,Yes,44,15,2,10,No,15,Yes,3,3,Consultancy,42161,81313,East,18-24
294,Male,28,Divorced,PhD,Operations,Team Lead,2,Travel_Rarely,Full-Time,Bangalore,No,24-07-2015,10.6,0,0,83190,998280,21,48230,2,No,4,4,3,1,12,Yes,24,12,4,13,No,27,No,3,2,LinkedIn,45771,45651,West,25-34
295,Male,30,Divorced,High School,Operations,Team Lead,2,Non-Travel,Contract,Ahmedabad,No,19-03-2021,4.9,7,4,137776,1653312,18,39851,2,No,2,4,3,3,10,Yes,10,9,4,9,No,28,No,1,3,Campus,32257,89930,East,25-34
296,Female,32,Divorced,High School,HR,Team Lead,4,Non-Travel,Full-Time,Pune,Yes,06-12-2015,10.2,7,5,97924,1175088,23,20921,1,No,1,4,2,1,11,No,71,17,2,10,Yes,13,Yes,3,3,LinkedIn,17436,46754,East,25-34
297,Male,54,Single,Master,Operations,Team Lead,5,Travel_Rarely,Contract,Bangalore,Yes,03-12-2023,2.2,0,4,83295,999540,6,37055,2,No,3,3,2,3,4,Yes,84,1,2,12,Yes,23,Yes,1,4,Campus,13380,48343,East,45-54
298,Female,44,Single,High School,IT,Specialist,3,Non-Travel,Full-Time,Delhi,No,18-02-2020,6,2,7,131451,1577412,17,9371,1,No,2,4,4,2,1,No,44,12,1,13,No,29,No,2,1,Campus,41042,55950,South,35-44
299,Female,46,Divorced,Master,Sales,Executive,1,Travel_Rarely,Contract,Delhi,Yes,22-05-2017,8.8,3,8,75728,908736,9,24846,1,No,3,4,3,2,10,No,78,16,1,5,No,5,Yes,3,3,Campus,14382,83155,South,45-54
300,Male,43,Single,PhD,Operations,Manager,4,Non-Travel,Full-Time,Pune,Yes,13-08-2020,5.5,0,3,50177,602124,11,33754,2,Yes,3,2,1,3,10,No,92,8,2,6,No,17,No,4,2,Campus,20447,66940,East,35-44
301,Male,51,Single,Master,Operations,Executive,1,Non-Travel,Contract,Bangalore,No,03-05-2015,10.8,7,4,123752,1485024,10,10973,2,Yes,3,3,2,1,13,Yes,1,10,2,8,Yes,17,No,4,3,Referral,34815,44714,East,45-54
302,Female,33,Married,PhD,Operations,Team Lead,3,Travel_Frequently,Contract,Mumbai,Yes,08-04-2015,10.9,9,3,24725,296700,6,29759,2,No,4,2,2,1,5,No,13,0,1,3,Yes,27,No,1,1,Campus,44600,68285,North,25-34
303,Male,21,Single,PhD,Operations,Manager,1,Travel_Rarely,Full-Time,Mumbai,No,10-09-2017,8.5,2,0,146279,1755348,23,45371,2,Yes,2,2,1,4,12,No,36,16,1,14,No,28,No,2,3,Campus,48968,52305,West,18-24
304,Female,35,Single,PhD,IT,Specialist,5,Travel_Frequently,Contract,Mumbai,Yes,29-10-2018,7.3,7,7,146244,1754928,13,38091,0,No,1,4,1,3,3,Yes,86,9,1,12,No,27,No,2,3,Consultancy,39672,89868,East,25-34
305,Male,30,Divorced,PhD,IT,Specialist,1,Non-Travel,Full-Time,Bangalore,No,21-12-2023,2.2,5,5,79949,959388,21,12780,2,No,3,1,2,2,11,No,27,4,2,3,No,3,No,4,4,LinkedIn,30344,89778,South,25-34
306,Female,48,Single,PhD,Finance,Analyst,5,Travel_Frequently,Full-Time,Pune,Yes,09-11-2017,8.3,8,1,76985,923820,14,32839,2,No,2,1,1,1,8,Yes,30,19,1,5,Yes,22,No,2,2,LinkedIn,45414,55057,East,45-54
307,Female,31,Single,Bachelor,Marketing,Specialist,5,Non-Travel,Contract,Delhi,Yes,02-02-2021,5.1,9,5,29677,356124,15,36656,0,No,1,3,4,3,6,No,69,10,4,13,No,4,Yes,2,4,Campus,35689,26083,East,25-34
308,Male,39,Single,PhD,HR,Analyst,4,Non-Travel,Full-Time,Ahmedabad,No,27-09-2024,1.4,9,7,112416,1348992,19,46585,0,No,3,1,4,3,12,Yes,74,14,2,10,No,23,No,1,3,Consultancy,28617,81918,East,35-44
309,Male,57,Divorced,High School,Sales,Manager,4,Travel_Rarely,Full-Time,Mumbai,No,30-04-2021,4.8,3,0,97442,1169304,18,38897,2,Yes,2,4,3,3,9,Yes,68,4,3,7,Yes,3,No,4,3,LinkedIn,24318,70934,West,55-64
310,Male,39,Married,High School,Operations,Manager,1,Non-Travel,Contract,Bangalore,No,06-05-2016,9.8,0,5,111891,1342692,21,9611,2,Yes,2,3,1,1,5,No,31,15,3,11,No,16,No,1,1,Consultancy,48985,21502,North,35-44
311,Female,54,Single,PhD,IT,Team Lead,5,Travel_Rarely,Contract,Ahmedabad,No,16-05-2018,7.8,4,7,62865,754380,7,14908,2,No,3,2,1,1,14,No,18,6,1,7,No,17,No,1,4,Campus,14019,32419,South,45-54
312,Male,58,Married,Bachelor,HR,Manager,4,Non-Travel,Contract,Mumbai,Yes,22-05-2018,7.8,0,7,124568,1494816,24,16911,0,Yes,3,4,3,2,2,No,31,19,2,14,No,1,No,1,3,Consultancy,10690,45103,West,55-64
313,Male,54,Single,Bachelor,Sales,Team Lead,2,Non-Travel,Contract,Pune,Yes,28-08-2018,7.5,8,5,70044,840528,15,16799,0,Yes,4,4,4,2,9,Yes,89,0,2,5,No,14,No,2,1,Referral,11756,88112,West,45-54
314,Female,40,Divorced,Master,IT,Executive,2,Travel_Rarely,Full-Time,Pune,Yes,14-02-2020,6,8,0,78051,936612,17,19285,1,No,4,2,3,1,7,Yes,31,11,3,10,No,8,No,1,2,Consultancy,45157,39937,East,35-44
315,Female,53,Married,PhD,Operations,Specialist,3,Travel_Rarely,Full-Time,Delhi,No,15-08-2023,2.5,0,2,29399,352788,13,49608,2,Yes,4,1,1,4,2,Yes,33,0,4,8,No,9,Yes,1,3,Consultancy,17953,35185,North,45-54
316,Female,23,Married,High School,HR,Team Lead,3,Travel_Frequently,Contract,Pune,Yes,16-09-2019,6.4,0,1,130012,1560144,11,29455,2,No,3,2,1,3,11,Yes,63,15,1,8,No,22,Yes,4,4,LinkedIn,27040,64772,West,18-24
317,Female,25,Single,Master,IT,Manager,1,Travel_Frequently,Contract,Bangalore,Yes,04-07-2017,8.6,8,1,47916,574992,22,11292,2,Yes,4,1,1,4,14,Yes,69,13,3,9,No,7,No,2,1,LinkedIn,27973,71672,North,18-24
318,Male,57,Single,Bachelor,Sales,Specialist,1,Travel_Rarely,Contract,Mumbai,No,27-09-2017,8.4,7,1,42113,505356,15,1868,2,Yes,1,4,4,1,13,Yes,7,4,1,3,No,9,No,1,3,Consultancy,37457,30532,East,55-64
319,Male,28,Divorced,Bachelor,Finance,Executive,2,Non-Travel,Full-Time,Pune,Yes,01-09-2024,1.5,0,6,105279,1263348,12,19586,2,Yes,4,3,3,4,13,No,82,10,3,3,No,28,No,4,1,LinkedIn,10329,58619,North,25-34
320,Female,35,Single,High School,IT,Analyst,5,Travel_Frequently,Contract,Bangalore,Yes,05-09-2016,9.5,3,0,122658,1471896,9,30285,2,Yes,2,4,4,3,3,Yes,54,3,2,5,Yes,14,Yes,4,2,Referral,18009,97078,East,25-34
321,Male,33,Divorced,Bachelor,Finance,Analyst,1,Travel_Frequently,Contract,Pune,No,01-01-2021,5.1,7,5,108001,1296012,20,2768,2,Yes,3,4,4,2,11,No,9,1,4,8,No,21,Yes,2,3,Campus,31019,21095,South,25-34
322,Male,46,Divorced,PhD,IT,Executive,1,Travel_Frequently,Full-Time,Bangalore,No,01-06-2016,9.7,1,9,34123,409476,5,33187,0,No,1,4,1,3,6,Yes,42,13,2,11,Yes,18,No,4,3,Consultancy,44060,36571,North,45-54
323,Female,52,Married,Master,IT,Manager,5,Non-Travel,Full-Time,Pune,No,07-08-2021,4.5,0,4,45104,541248,7,3574,1,Yes,1,3,2,3,13,No,66,5,4,6,No,25,No,4,3,Consultancy,42262,25782,East,45-54
324,Male,41,Single,Master,IT,Team Lead,4,Travel_Rarely,Contract,Mumbai,Yes,21-03-2023,2.9,3,8,119724,1436688,7,41029,1,Yes,1,4,3,2,8,Yes,41,9,1,14,No,5,Yes,3,4,Consultancy,10797,93745,West,35-44
325,Male,59,Single,Master,Finance,Executive,1,Travel_Rarely,Contract,Pune,Yes,28-06-2023,2.7,1,0,133561,1602732,11,42218,2,Yes,4,2,1,2,7,No,54,2,2,14,No,3,Yes,1,4,LinkedIn,20051,31695,West,55-64
326,Female,58,Single,Master,Sales,Analyst,5,Travel_Frequently,Contract,Ahmedabad,No,04-05-2019,6.8,8,2,93438,1121256,17,44706,2,No,4,3,1,4,6,No,18,6,1,6,Yes,9,Yes,3,4,Consultancy,17634,97034,North,55-64
327,Male,33,Single,Master,IT,Executive,2,Travel_Rarely,Contract,Bangalore,Yes,28-04-2020,5.8,5,9,21391,256692,22,14481,2,Yes,3,2,4,4,7,Yes,40,2,1,4,No,15,No,1,2,Consultancy,33555,39333,South,25-34
328,Male,44,Divorced,Master,Marketing,Analyst,3,Travel_Frequently,Full-Time,Pune,No,16-02-2020,6,0,8,66553,798636,7,24435,0,No,3,4,3,1,9,No,15,19,3,12,No,1,Yes,3,3,Campus,18524,50846,West,35-44
329,Female,36,Single,Master,Finance,Analyst,3,Non-Travel,Full-Time,Ahmedabad,Yes,12-03-2022,3.9,0,0,103804,1245648,13,45468,1,Yes,1,3,1,4,1,Yes,12,19,3,5,Yes,1,No,3,1,Campus,46519,64512,West,35-44
330,Male,35,Married,High School,IT,Team Lead,5,Travel_Rarely,Contract,Mumbai,No,10-02-2016,10,8,8,125156,1501872,21,41872,0,No,4,1,2,4,10,Yes,19,1,4,5,No,7,No,3,3,Consultancy,35218,50565,East,25-34
331,Female,27,Married,Master,HR,Specialist,5,Non-Travel,Contract,Pune,No,13-09-2021,4.4,4,6,89726,1076712,23,18073,0,Yes,2,3,1,2,11,No,43,6,1,3,No,25,Yes,1,1,Referral,44229,73444,North,25-34
332,Female,52,Married,High School,Marketing,Analyst,5,Travel_Frequently,Contract,Pune,Yes,24-03-2016,9.9,8,5,59322,711864,16,6922,1,No,1,2,2,3,3,No,87,17,4,11,No,18,No,3,1,LinkedIn,46855,73526,West,45-54
